name,brand,vintage,varietal_label,wine_type,appellation,designation,rating,review,reviewer,retail,state,slug,pub_date_web,alcohol,country
Stolpman 2019 La Cuadrilla Red (Ballard Canyon),Stolpman,2019,Red Blend,Red,Ballard Canyon,La Cuadrilla,91,"This blend of 70% Syrah, 15% Grenache and 15% Sangiovese, which is directed by and directly benefits the winery's full-time vineyard crew, begins with aromas of roasted yet crisp red fruit, rose petals and grilled meats, with an underlying carbonic tone. The palate is bright and zesty, with fresh fruits, white-pepper and charred meat flavors.",M.K.,22,California,stolpman-2019-la-cuadrilla-red-ballard-canyon,2020-12-31,0.1410,USA
Stolpman 2019 Pliocene Mourvèdre (Ballard Canyon),Stolpman,2019,Mourvèdre,Red,Ballard Canyon,Pliocene,93,"From a densely planted block of own-rooted, head-pruned, “pre-clonal” vines, this still-young bottling begins with aromas of black fruit, wet stone and crumpled violet. There's fascinating tension and grip to the palate, with hints of white pepper, crushed chalk, rose hips and purple-flower flavors. Drink 2022–2032.",M.K.,65,California,stolpman-2019-pliocene-mourvedre-ballard-canyon,2020-12-31,0.1400,USA
Stolpman 2019 Estate Syrah (Ballard Canyon),Stolpman,2019,Syrah,Red,Ballard Canyon,Estate,93,"Pure and lively aromas of purple flowers, wet rocks and damp soil show on the nose of this bottling, which will benefit from a bit of patience. Brisk flavors of raspberry, cola, chalk and lavender show much promise on the palate, which is tightly wrapped in staff tannins at this young age. Drink 2022–2034.",M.K.,30,California,stolpman-2019-estate-syrah-ballard-canyon,2020-12-31,0.1410,USA
Stasis 2019 Murmur Vineyard Gamay Noir (Santa Maria Valley),Stasis,2019,Gamay Noir,Red,Santa Maria Valley,Murmur Vineyard,95,"The early attempts at Gamay Noir on the Central Coast trend toward fresher styles, but this bottling is reminiscent of a serious Cru Beaujolais. Aromas of dark berry, crumpled flowers, crushed rock and white pepper lead into a palate of boysenberry, plum skin, pepper and purple flowers. The texture is tight, the acidity is bright and yet there is compelling density.",M.K.,42,California,stasis-2019-murmur-vineyard-gamay-noir-santa-maria-valley,2020-12-31,0.1410,USA
Stasis 2019 Carbonic Zinfandel (Paso Robles Willow Creek District),Stasis,2019,Zinfandel,Red,Paso Robles Willow Creek District,Carbonic,91,"The carbonic movement has found a new candidate. This Zinfandel shows purple berry, lavender, violet and light elderberry on the nose. The palate features a tannic bite, with black pepper and peppercorn spicing up the grape-bubblegum flavor.",M.K.,45,California,stasis-2019-carbonic-zinfandel-paso-robles-willow-creek-district,2020-12-01,0.1420,USA
Solminer 2019 Carbonic Coquelicot Vineyard Syrah (Los Olivos District),Solminer,2019,Syrah,Red,Los Olivos District,Carbonic Coquelicot Vineyard,92,"Quite transparent in the glass, this carbonic showcase of organic fruit sizzles with tight red-plum and light-licorice aromas on the nose. The bright red-currant flavors of the palate aren't much like Syrah, yet there is spicy pepper and familiar dried herbs, as well as an ashy streak: refreshing and zesty.",M.K.,30,California,solminer-2019-carbonic-coquelicot-vineyard-syrah-los-olivos-district,2020-09-01,0.1280,USA
So Fresh 2019 Own-Rooted Field Blend So Fresh Red (Ballard Canyon),So Fresh,2019,Rhône-style Red Blend,Red,Ballard Canyon,Own-Rooted Field Blend So Fresh,91,"There's a strong carbonic kick on the nose of this bottling, with lots of raspberry, light bubblegum and crushed granite elements. The palate is bouncy with fruit, offering cassis and cola-spice flavors.",M.K.,48,California,so-fresh-2019-own-rooted-field-blend-so-fresh-red-ballard-canyon,2020-11-01,0.1390,USA
So Fresh 2019 GDG Gamay Noir (Ballard Canyon),So Fresh,2019,Gamay Noir,Red,Ballard Canyon,GDG,93,"Crunchy fruit aromas of red currant are enhanced with smashed up cement and cracked peppercorn on the nose. Exuberant acidity enlivens the palate, where dark-berry, chiseled stone and white-pepper flavors align.",M.K.,36,California,so-fresh-2019-gdg-gamay-noir-ballard-canyon,2020-11-01,0.1300,USA
So Fresh 2019 Crunchy Roastie Syrah (Ballard Canyon),So Fresh,2019,Syrah,Red,Ballard Canyon,Crunchy Roastie,92,"Crumpled rose and violet aromas meet with Dr Pepper spices and grape bubblegum on the nose of this bottling, which includes 5% Viognier. It's very zippy on the sip, blending purple-fruit and flower flavors with white-pepper spice and a lightly toasted finish.",M.K.,24,California,so-fresh-2019-crunchy-roastie-syrah-ballard-canyon,2020-11-01,0.1250,USA
So Fresh 2019 So Hot Syrah (Ballard Canyon),So Fresh,2019,Syrah,Red,Ballard Canyon,So Hot,92,"Part of the winery's So Fresh series of carbonic, sulfur-free wines, this Syrah is an intense expression, with fresh boysenberry, white-pepper and crushed lava rock aromas. The palate is loaded with sticky texture and popping acidity, which uphold the smashed fruit flavors.",M.K.,42,California,so-fresh-2019-so-hot-syrah-ballard-canyon,2020-11-01,0.1350,USA
So Fresh 2019 Love You Bunches Sangiovese (Santa Barbara County),So Fresh,2019,Sangiovese,Red,Santa Barbara County,Love You Bunches,91,"The carbonic style is powerful and refreshing on the nose of this bottling, which offers raspberry and crushed stone aromas. There is immense amounts of zip to the sip, where crunchy strawberry flavors meet with light herbs.",M.K.,24,California,so-fresh-2019-love-you-bunches-sangiovese-santa-barbara-county,2020-11-01,0.1250,USA
Sean Minor 2019 Point North Pinot Noir (Willamette Valley),Sean Minor,2019,Pinot Noir,Red,Willamette Valley,Point North,86,"This is light and gently pretty, but insubstantial. Slightly dilute fruit flavors touch on cranberry and raspberry, but lack any depth. The impression is of unsweetened soda pop.",P.G.,22,Oregon,sean-minor-2019-point-north-pinot-noir-willamette-valley-pinot-noir,2020-12-01,0.1300,USA
Sean Minor 2019 4B Pinot Noir (California),Sean Minor,2019,Pinot Noir,Red,California,4B,88,"This attractive medium-bodied wine is smoky and brooding, offering forest floor aromas, hints of charred oak and solid-quality black-fruit flavors accented by black tea.",J.G.,16,California,sean-minor-2019-4b-pinot-noir-california,2020-12-31,0.1350,USA
Scar of the Sea 2019 Hofer Vineyard Grenache (Cucamonga Valley),Scar of the Sea,2019,Grenache,Red,Cucamonga Valley,Hofer Vineyard,95,"From a dry-farmed vineyard that was planted in the 1930s, this bottling reminds of a walk through the late summer chaparral, full of sage, baked earth and crumpled laurel. There are also aromas of olive and elderberry on the nose, and flavors of raspberry and red currant on the palate, but it's the gray sage that coats everything.",M.K.,32,California,scar-of-the-sea-2019-hofer-vineyard-grenache-cucamonga-valley,2020-10-01,0.1400,USA
San Simeon 2019 Estate Reserve Pinot Noir (Monterey),San Simeon,2019,Pinot Noir,Red,Monterey,Estate Reserve,94,"Fresh out of the gates, this bottling is singing in opulent aromas of Bing cherry pie, clove, mace and rosewater. There is a wealth of baking spice on the palate, from nutmeg to star anise, while the silky, smooth mouthfeel presents flavors of cherry and mulberry.",M.K.,25,California,san-simeon-2019-estate-reserve-pinot-noir-monterey,2020-12-01,0.1490,USA
Samuel Robert 2019 Vintner's Reserve Pinot Noir (Willamette Valley),Samuel Robert,2019,Pinot Noir,Red,Willamette Valley,Vintner's Reserve,90,"Most reserves at this price point fail to justify the distinction, but given that Samuel Robert's regular Pinot is four dollars cheaper, and given that this has seriously good varietal flavors of blackberries, savory herbs, cola, a touch of bitter thistle and even some earthy minerality, what's not to like? Complexity and authenticity, along with Willamette Valley credentials, make this a peerless value.",P.G.,16,Oregon,samuel-robert-2019-vintners-reserve-pinot-noir-willamette-valley,2020-10-01,0.1350,USA
Samuel Robert 2019 Conscious Pinot Noir (Willamette Valley),Samuel Robert,2019,Pinot Noir,Red,Willamette Valley,Conscious,88,Don't let the lowball price fool you; this is a fine expression of authentic Willamette Valley Pinot Noir. Sweet black-cherry fruit is laced with cola scents and pretty highlights of mocha—all in a faultless wine of modest proportions. The tannins leave just a hint of bitterness as the wine trails away.,P.G.,12,Oregon,samuel-robert-2019-conscious-pinot-noir-willamette-valley,2020-10-01,0.1300,USA
Saint K 2019 Like the Snows of Yesteryear White Hawk Vineyard Sangiovese (Santa Barbara County),Saint K,2019,Sangiovese,Red,Santa Barbara County,Like the Snows of Yesteryear White Hawk Vineyard,92,"Sporting a gun on the label, this is a powerful Sangiovese, starting with ripe aromas of black currant, blackberry, lavender and toast on the nose. It's thick on the palate, where baked and fresh dark-berry flavors meet with dark cocoa and violet.",M.K.,50,California,saint-k-2019-like-the-snows-of-yesteryear-white-hawk-vineyard-sangiovese-santa-barbara-county,2020-12-31,0.1450,USA
Rickshaw 2019 Pinot Noir (California),Rickshaw,2019,Pinot Noir,Red,California,,87,"This smooth, medium-bodied wine is lavishly spiced with vanilla, cinnamon and toasted oak flavors, while a modest vein of red cherry remains in the background.",J.G.,15,California,rickshaw-2019-pinot-noir-california,2020-10-01,0.1350,USA
Rascal 2019 Pinot Noir (Oregon),Rascal,2019,Pinot Noir,Red,Oregon,,88,"Pretty aromas of berry and cherry open into a clean and fresh wine. It's fruit-driven, showing cranberry, raspberry and a touch of Bing cherry, with some skin phenolics framing the finish.",P.G.,15,Oregon,rascal-2019-pinot-noir-oregon,2020-12-01,0.1350,USA
Paix Sur Terre 2019 Glenrose Vineyard Counoise (Adelaida District),Paix Sur Terre,2019,Counoise,Red,Adelaida District,Glenrose Vineyard,92,"It's bizarre that Counoise is not more popular, as this bottling reveals its beautiful aromas of raspberry, rose petals and more red flowers. The palate is pleasingly complex, combining red currant and boysenberry with fennel pollen and white pepper.",M.K.,45,California,paix-sur-terre-2019-glenrose-vineyard-counoise-adelaida-district,2020-12-01,0.1350,USA
Pacific Redwood 2019 Organic Cabernet Sauvignon (North Coast),Pacific Redwood,2019,Cabernet Sauvignon,Red,North Coast,Organic,84,Fresh blueberry and grape aromas lead to a rather light texture and lean herb and berry flavors in this full-bodied wine.,J.G.,17,California,pacific-redwood-2019-organic-cabernet-sauvignon-north-coast,2020-12-31,0.1400,USA
Pacific Redwood 2019 Organic Pinot Noir (Mendocino),Pacific Redwood,2019,Pinot Noir,Red,Mendocino,Organic,86,Deep black-fruit flavors and a firmly tannic texture give this full-bodied wine a lot of power on the palate. Black cherries and blackberries are shaded by some assertive wood char notes.,J.G.,18,California,pacific-redwood-2019-organic-pinot-noir-mendocino,2020-12-01,0.1350,USA
Pacific Redwood 2019 Organic Syrah (California),Pacific Redwood,2019,Syrah,Red,California,Organic,88,"This wine is intense, peppery and tannic, offering tightly wound flavors of blackberry and dark chocolate in a firm texture. It has no added sulfites.",J.G.,15,California,pacific-redwood-2019-organic-syrah-california,2020-10-01,0.1450,USA
Odonata 2019 Cote du Denis Circle B Vineyard Carbonic Carignan (Paso Robles),Odonata,2019,Carignan,Red,Paso Robles,Cote du Denis Circle B Vineyard Carbonic,93,"Winemaker Denis Hoey hops on the carbonic train with this elegantly labeled bottling, and it hits all the marks. Bright raspberry, hibiscus and rainy cement aromas lead into a zesty palate of plum, strawberry and more wet rock flavors.",M.K.,28,California,odonata-2019-cote-du-denis-circle-b-vineyard-carbonic-carignan-paso-robles,2020-09-01,0.1200,USA
NSO By Dusty Nabor 2019 NSO Pinot Noir (Sta. Rita Hills),NSO By Dusty Nabor,2019,Pinot Noir,Red,Sta. Rita Hills,NSO,90,"This is a tart and lively take on Pinot Noir, done at an amazing price point. Underripe aromas of tangy red plum, pine needle and eucalyptus lead into a sagebrush-loaded palate of menthol, cranberry and tart plum.",M.K.,18,California,nso-by-dusty-nabor-2019-nso-pinot-noir-sta-rita-hills,2020-12-31,0.1400,USA
Municipal Winemakers 2019 Hofer Cucamonga Grenache (Cucamonga Valley),Municipal Winemakers,2019,Grenache,Red,Cucamonga Valley,Hofer Cucamonga,93,"Very light and pretty in the glass, this wine from a vineyard planted in the 1930s 45-miles east of Los Angeles, now surrounded by runways and boxcars, starts with soft and plush aromas of cherry, strawberry, sagebrush and pepper. The sip sizzles with acidity, showing red currant, raspberry, hibiscus and white-pepper flavors.",M.K.,28,California,municipal-winemakers-2019-hofer-cucamonga-grenache-cucamonga-valley,2020-09-01,0.1350,USA
McManis 2019 Estate Grown Cabernet Sauvignon (Lodi),McManis,2019,Cabernet Sauvignon,Red,Lodi,Estate Grown,86,"This full-bodied wine offers obvious wood-char aromas and oaky, cedary, peppery flavors atop bright, fresh cherry-berry fruit.",J.G.,12,California,mcmanis-2019-estate-grown-cabernet-sauvignon-lodi,2020-12-31,0.1350,USA
McManis 2019 Estate Grown Certified Sustainable Pinot Noir (Lodi),McManis,2019,Pinot Noir,Red,Lodi,Estate Grown Certified Sustainable,88,"Effusive fruit flavors and light accents of baking spices and wood smoke make a very good combination in this medium-bodied, smooth and enjoyable wine.",J.G.,12,California,mcmanis-2018-estate-grown-certified-sustainable-pinot-noir-lodi-pinot-noir,2020-11-01,0.1350,USA
McClean 2019 Love Red (Paso Robles),McClean,2019,Red Blend,Red,Paso Robles,Love,88,"This blend of Cabernet Sauvignon, Zinfandel and Petite Sirah shows roasted black plum, Concord grape and rustic tones of earth and pepper on the nose. The wine is still quite young on the palate, so the tannins are resolving, but the fresh flavors of woody blackberries and toasted oak are promising.",M.K.,21,California,mcclean-2019-love-red-paso-robles,2020-12-01,0.1370,USA
Massalto 2019 Extravaganza Cinsault (Columbia Valley (WA)),Massalto,2019,Cinsault,Red,Columbia Valley (WA),Extravaganza,91,"This is a unicorn wine—100% Cinsault from Thunderstone Vineyard on the Royal Slope, barrel fermented with carbonic maceration. The aromas pop, with notes of plum, pomegranate, raspberry and lilac with a whiff of chocolate. It's light on its feet with a very slight spritz, dancing with juicy fruit flavors. It's an end-to-end, full-on charmer.",S.S.,40,Washington,massalto-2019-extravaganza-cinsault-columbia-valley-wa,2020-12-01,0.1250,USA
Margerum 2019 Margerum Estate Vineyard Cinsault (Los Olivos District),Margerum,2019,Cinsault,Red,Los Olivos District,Margerum Estate Vineyard,91,"Done right, Cinsault is a glou-glou grape at its finest. This bottling shows rose, bubblegum, red plum and lavender on the broad nose. The palate offers strawberry and more bubblegum flavors, with just enough spice and herb to keep it intellectual.",M.K.,29,California,margerum-2019-margerum-estate-vineyard-cinsault-los-olivos-district,2020-12-01,0.1450,USA
Kwaya 2019 Organic Sangiovese (Mendocino),Kwaya,2019,Sangiovese,Red,Mendocino,Organic,83,"A smoky, rubber-boot aroma leads to flavors of graphite, charcoal and sour cherry in this rather raw-tasting and full-bodied wine. No added sulfites.",J.G.,18,California,kwaya-2019-organic-sangiovese-mendocino,2020-12-31,0.1390,USA
Kwaya 2019 Organic Merlot (North Coast),Kwaya,2019,Merlot,Red,North Coast,Organic,83,"Berry and herb aromas and earthy, meaty flavors make this full-bodied wine appealing. It turns tannic on the palate and has a smoky finish.",J.G.,18,California,kwaya-2019-organic-merlot-north-coast,2020-12-31,0.1400,USA
Kirkland Signature 2019 Cabernet Sauvignon (California),Kirkland Signature,2019,Cabernet Sauvignon,Red,California,,86,"Aromas of grilled meat, salt and pepper give this full-bodied wine a big, brash personality. It is moderately tannic and adequately filled in by cherry and black plum flavors.",J.G.,13,California,kirkland-signature-2019-cabernet-sauvignon-california,2020-11-01,0.1300,USA
Holly's Hill 2019 Poco Loco Estate Mourvèdre (El Dorado),Holly's Hill,2019,Mourvèdre,Red,El Dorado,Poco Loco Estate,93,"Smooth as silk and overflowing with perfectly ripe fruit flavors, this full-bodied but elegant wine is hard to resist. Light tannins and fruit acidity balance the gorgeous red- and black-cherry flavors and linger through the finish.",J.G.,25,California,hollys-hill-2019-poco-loco-estate-mourvedre-el-dorado,2020-12-31,0.1470,USA
Gondak Cellars 2019 Campbell McKinney Vineyard Grenache (Russian River Valley),Gondak Cellars,2019,Grenache,Red,Russian River Valley,Campbell McKinney Vineyard,90,"This is a tiny production, light-handed and delicately crafted wine, from a cool-climate, hillside site. Tight-grained tannin support a lively, persistent acidity that gives lift to the flavors of cranberry, wild strawberry and rhubarb, finishing bright in citrus.",V.B.,28,California,gondak-cellars-2019-campbell-mckinney-vineyard-grenache-russian-river-valley,2020-12-01,0.1320,USA
Girasole 2019 Estate Grown Zinfandel (Mendocino),Girasole,2019,Zinfandel,Red,Mendocino,Estate Grown,88,"Superfruity and fresh, this is a very friendly, quaffable version of Zin, offering grapey, jammy flavors on a full body that doesn't feel too tough, due to light tannins.",J.G.,14,California,girasole-2019-estate-grown-zinfandel-mendocino,2020-12-31,0.1480,USA
Girasole 2019 Estate Grown Sangiovese (Mendocino),Girasole,2019,Sangiovese,Red,Mendocino,Estate Grown,87,"An aroma like smoked blackberries leads to rich, plummy, black-fruit flavors and hints of milk chocolate in this full-bodied but non-tannic wine. It's fresh, mouthfilling and easy to swallow.",J.G.,14,California,girasole-2019-estate-grown-sangiovese-mendocino,2020-12-31,0.1450,USA
Girasole 2019 Estate Grown Pinot Noir (Mendocino County),Girasole,2019,Pinot Noir,Red,Mendocino County,Estate Grown,88,"Juicy and fresh-tasting, this wine offers plenty of cherry, plum and strawberry flavors that seem to gush out of the glass. It's full bodied, but fairly soft in texture and easy to gulp.",J.G.,16,California,girasole-2019-estate-grown-pinot-noir-mendocino-county,2020-12-31,0.1420,USA
Frey 2019 Organic Pinot Noir (Mendocino),Frey,2019,Pinot Noir,Red,Mendocino,Organic,87,"Effusive, fresh cherry and blackberry aromas lead to a rather grippy, lively texture that's almost effervescent. This gulpable wine packs plenty of fruit flavors and has no added sulfites.",J.G.,18,California,frey-2019-organic-pinot-noir-mendocino,2020-12-31,0.1350,USA
Frey 2019 Organic Cabernet Sauvignon (North Coast),Frey,2019,Cabernet Sauvignon,Red,North Coast,Organic,86,Black-pepper and veggie flavors accompany firm tannins and a full body in this rustic but enjoyable wine.,J.G.,17,California,frey-2019-organic-cabernet-sauvignon-north-coast,2020-12-31,0.1400,USA
Frey 2019 Biodynamic Field Blend Red (Mendocino),Frey,2019,Red Blend,Red,Mendocino,Biodynamic Field Blend,88,"Jammy, fresh aromas lead to darker, richer black-fruit flavors in this full-bodied and firmly tannic wine. It shows a deep, dark color, tasty black-cherry and dark-chocolate flavors and has a lingering finish.",J.G.,17,California,frey-2019-biodynamic-field-blend-red-mendocino,2020-12-31,0.1450,USA
Frey 2019 Chateau Frey Red (Mendocino),Frey,2019,Red Blend,Red,Mendocino,Chateau Frey,84,"Dry and full bodied, this wine offers potent blackberry, earth and char flavors bolstered by light tannins.",J.G.,15,California,frey-2019-chateau-frey-red-mendocino-red-blends,2020-10-01,0.1400,USA
Frey 2019 Organic Syrah (California),Frey,2019,Syrah,Red,California,Organic,91,"Very ripe-tasting and robust, this full-bodied wine is one of the best no-sulfites-added wines on the market. It layers subtle baking spices over jammy blackberry flavors that run deep in the rich, moderately tannic texture.",J.G.,15,California,frey-2019-organic-syrah-california,2020-10-01,0.1450,USA
Folktale 2019 Carbonic Sangiovese (Monterey County),Folktale,2019,Sangiovese,Red,Monterey County,Carbonic,93,"Sangiovese made in a carbonic fashion shows much promise. Clean lines of red currant and raspberry meet with potting soil, white pepper and a hint of game on the nose of this bottling. The palate is impressively layered, offering strong pepper spices and a taut texture against the dark-berry backdrop.",M.K.,35,California,folktale-2019-carbonic-sangiovese-monterey-county,2020-12-01,0.1250,USA
Folded Hills 2019 Cluster Grenache (Santa Ynez Valley),Folded Hills,2019,Grenache,Red,Santa Ynez Valley,Cluster,93,"This whole-cluster, carbonic bottling manages to capture the fresh factor of such a regime while retaining plenty of unique savory and spice qualities. Transparent in the glass, this begins with aromas of pomegranate, Ruby Red grapefruit, green sage and eucalyptus. The palate is snappy and grippy with raspberry, tarragon and dewy thyme flavors.",M.K.,37,California,folded-hills-2019-cluster-grenache-santa-ynez-valley,2020-12-31,0.1450,USA
Folded Hills 2019 Cluster Nouveau Syrah (Santa Ynez Valley),Folded Hills,2019,Syrah,Red,Santa Ynez Valley,Cluster Nouveau,93,"This brand is deeply exploring the whole-cluster and carbonic treatments to present fresh, lively and quaffable wines. Aromas of black raspberry bubblegum, smoked sage and thyme kick off the nose, while a mix of savory and fruity tones consume the palate, from red plum and roasted strawberry to peppercorns, herbs and a leather-kissed finish.",M.K.,37,California,folded-hills-2019-cluster-nouveau-syrah-santa-ynez-valley,2020-12-31,0.1420,USA
Firesteed 2019 Pinot Noir (Oregon),Firesteed,2019,Pinot Noir,Red,Oregon,,86,"One of a growing number of mass-market Oregon Pinots under $20, this offers acceptable varietal character in a simple, blocky, straight-ahead style. Cherry fruit and slightly bitter herbs tell the tale, with no new oak. There's a hint of burnt rubber and a final impression of vanilla as it trails away.",P.G.,17,Oregon,firesteed-2019-pinot-noir-oregon-pinot-noir,2020-12-01,0.1000,USA
Easton 2019 Zinster Lot 1852 Zinfandel (Fiddletown),Easton,2019,Zinfandel,Red,Fiddletown,Zinster Lot 1852,91,"Aromas of dried herbs, rose petals, salt and pepper meet lively raspberry and cranberry flavors in this medium- to full-bodied wine. Made by fermenting whole clusters, it has an appetizing nip of tannin to firm up the texture.",J.G.,25,California,easton-2019-zinster-lot-1852-zinfandel-fiddletown,2020-12-31,0.1450,USA
Dusty Nabor 2019 NSO Grenache (Paso Robles),Dusty Nabor,2019,Grenache,Red,Paso Robles,NSO,91,"Tart red-plum aromas play against richer strawberry and purple-flower tones on the nose of this very fairly priced bottling. The palate packs fresh fruit-punch and strawberry flavors with pleasantly sour acidity, making for a lively sip.",M.K.,18,California,dusty-nabor-2019-nso-grenache-paso-robles,2020-12-31,0.1450,USA
Delta 2019 Cabernet Franc (California),Delta,2019,Cabernet Franc,Red,California,,88,"This wine offers outstanding value for the quality, a mix of herbal, perfumed oak atop soft, approachable layers of raspberry and cassis. Bright and unfussy, it delivers nuanced flavor and a lasting hint of char.",V.B.,15,California,delta-2019-cabernet-franc-california,2020-10-01,0.1410,USA
Covenant 2019 Mensch Zinfandel (Lodi),Covenant,2019,Zinfandel,Red,Lodi,Mensch,88,"Jammy fruit flavors are coated with baking spices, vanilla and chocolate in this full-bodied, rich and indulgent wine.",J.G.,20,California,covenant-2019-mensch-zinfandel-lodi,2020-11-01,0.1450,USA
Cobble Creek 2019 Pinot Noir (Paso Robles),Cobble Creek,2019,Pinot Noir,Red,Paso Robles,,88,"There's a tinge of sour cherry, light earth and crushed rocks on the nose of this bottling, which is billed as organic, gluten-free and vegan-friendly. There are bright flavors of raspberry on the palate as well as hints of smoke and chiseled stone.",M.K.,14,California,cobble-creek-2019-pinot-noir-paso-robles,2020-11-01,0.1350,USA
Charlie & Echo 2019 Witherfall Tempest Red (San Diego County),Charlie & Echo,2019,Red Blend,Red,San Diego County,Witherfall Tempest,91,"What happens when a Los Angeles metal band teams up with a natural winemaker in San Diego? This edgy blend of 32% Petite Sirah, 32% Syrah, 25% Nebbiolo and 11% Zinfandel, which with spicy aromas of cracked pepper, rosebuds and fruit punch. The palate sizzles with acidity, offering fun, almost fizzy flavors of green peppercorn, strawberry and dried herb.",M.K.,25,California,charlie-echo-2019-witherfall-tempest-red-san-diego-county,2020-11-01,0.1180,USA
Castle Rock 2019 California Cuvée Pinot Noir (California),Castle Rock,2019,Pinot Noir,Red,California,California Cuvée,86,"A reduced, flinty aroma gives way to pleasant fruit flavors and earthy overtones in this medium-bodied wine.",J.G.,11,California,castle-rock-2019-california-cuvee-pinot-noir-california,2020-12-31,0.1450,USA
Castle Rock 2019 Pinot Noir (Mendocino County),Castle Rock,2019,Pinot Noir,Red,Mendocino County,,88,"Fruity and savory flavors mingle well in this full-bodied, smooth-textured wine. It offers ample black-cherry and black-plum notes along with hints of tasty mushroom and beef jus.",J.G.,12,California,castle-rock-2019-pinot-noir-mendocino-county,2020-12-31,0.1450,USA
